Preprocessing,Algorithm,Clusters,Silhouette,Calinski-Harabasz,Davies-Bouldin
No Processing,KMeans,2,0.6810461692117462,513.9245459802768,0.40429283717304343
No Processing,Hierarchical,2,0.6867350732769776,502.82156350235897,0.38275284210068616
No Processing,KMeans,3,0.5528190123564095,561.62775662962,0.6619715465007465
No Processing,Hierarchical,3,0.5543236611296419,558.0580408128307,0.6562564540642021
No Processing,KMeans,4,0.49805050499728737,530.7658081872851,0.7803069838811107
No Processing,Hierarchical,4,0.4889670857554692,515.0789062430442,0.7952637917518272
No Processing,KMeans,5,0.49123997967644784,495.3699060237615,0.8159888282066957
No Processing,Hierarchical,5,0.4843825892790594,488.4849040365162,0.8204166609646473
No Processing,MeanShift,2,0.6857881712617192,509.7034266772457,0.3885516762710371
Normalization,KMeans,2,0.5817500491982808,251.34933946458108,0.5933126905762435
Normalization,Hierarchical,2,0.5770346019475989,240.24566522437965,0.5916560992933364
Normalization,KMeans,3,0.45994823920518635,241.90440170183157,0.8335949464754338
Normalization,Hierarchical,3,0.4466890410285909,222.71916382215363,0.8034665302876753
Normalization,KMeans,4,0.38694104154427816,207.26591431569688,0.8698143723183839
Normalization,Hierarchical,4,0.4006363159855973,201.2514543140406,0.9788214982592804
Normalization,KMeans,5,0.3459012795948778,202.9515253173917,0.9483171900518057
Normalization,Hierarchical,5,0.33058726295230545,192.6812827176413,0.9742492313121824
Normalization,MeanShift,2,0.5817500491982808,251.34933946458108,0.5933126905762435
PCA,KMeans,2,0.705670322510211,570.838868230542,0.3709582478659337
PCA,Hierarchical,2,0.7112353733237211,557.4610324586052,0.3493629424975419
PCA,KMeans,3,0.5976764219547994,693.7084334188485,0.5648157434964121
PCA,Hierarchical,3,0.5984750353705445,688.6175478020382,0.5604962418488761
PCA,KMeans,4,0.5577409232246786,719.1235440488666,0.6150686747805221
PCA,Hierarchical,4,0.5409772344736492,673.9462643465888,0.6546236191154552
PCA,KMeans,5,0.5515547785513797,685.0267725905677,0.6320655624289192
PCA,Hierarchical,5,0.5487843719847739,665.8831120635573,0.6525734875175678
PCA,MeanShift,2,0.7103108365955947,565.7340515858795,0.3550592121805608
